pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH104622,7,0,1990,SAKHARE DATTARAYA SIDRAM,,Maharashtra,AKKALKOT,GEN,IND,,69,M,8,1,FALSE,FALSE,0.08,3,0,,,,1
AEMH104623,7,0,1990,MADIKHAMBE SHARANAPPA ADAPPA,,Maharashtra,AKKALKOT,GEN,IND,,66,M,9,1,FALSE,FALSE,0.07,14,0.02,,,,1
AEMH104624,7,0,1990,MAULAVI IBRAHIM NURAHMAD,,Maharashtra,AKKALKOT,GEN,IND,,52,M,10,1,FALSE,FALSE,0.06,1,0,,,,1
AEMH104625,7,0,1990,BHARAMSHETTI HANMANT MAHADAPPA,,Maharashtra,AKKALKOT,GEN,IND,,51,M,11,1,FALSE,FALSE,0.06,29,0.03,,,,1
AEMH104626,7,0,1990,HARWALKAR GURUPADAPPA CHANDRAMAPPA,,Maharashtra,AKKALKOT,GEN,IND,,22,M,12,1,FALSE,FALSE,0.02,1,0,,,,1
AEMH104627,7,0,1990,BAGWAN MAHIBUB IMAM (VAKIL),,Maharashtra,AKKALKOT,GEN,IND,,21,M,13,1,FALSE,FALSE,0.02,0,0,,,,1
AEMH104630,7,0,1990,JAGATAP SUBHASH BHIMRAO,,Maharashtra,SOUTH SOLAPUR,GEN,SHS,,6002,M,3,1,FALSE,FALSE,6.6,1018,1.12,,,,1
AEMH104631,7,0,1990,DAREKAR SHIVANAND NAGANATH,,Maharashtra,SOUTH SOLAPUR,GEN,JD,,4984,M,4,1,FALSE,FALSE,5.48,1514,1.66,,,,1
AEMH104632,7,0,1990,SHIVASHARAN RAMA APPA,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,3470,M,5,1,FALSE,FALSE,3.81,2738,3.01,,,,1
AEMH104633,7,0,1990,SURVE CHANDRAKANT SAKHARAM,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,732,M,6,1,FALSE,FALSE,0.8,339,0.37,,,,1
AEMH104634,7,0,1990,CHANGALE SIDDHAPPA CHANNAPPA,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,393,M,7,1,FALSE,FALSE,0.43,98,0.11,,,,1
AEMH104635,7,0,1990,SHAIKH MAHIBOOB KASIM,,Maharashtra,SOUTH SOLAPUR,GEN,BRP,,295,M,8,1,FALSE,FALSE,0.32,36,0.04,,,,1
AEMH104636,7,0,1990,JADHAV RAMCHANDRA POMU,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,259,M,9,1,FALSE,FALSE,0.28,45,0.05,,,,1
AEMH104637,7,0,1990,ATANURE MALLIKARAJAUN DHULAPPA,,Maharashtra,SOUTH SOLAPUR,GEN,DDP,,214,M,10,1,FALSE,FALSE,0.24,0,0,,,,1
AEMH104639,7,0,1990,BIRAJDAR (PATIL) SHIVSHARAN HANMANTAPPA,,Maharashtra,SOLAPUR CITY SOUTH,GEN,SHS,,30884,M,2,1,FALSE,FALSE,34.14,6293,6.96,,,,1
AEMH104640,7,0,1990,KHAIRDI A. GAFUR ISMAILSAB,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,24591,M,3,1,FALSE,FALSE,27.18,24039,26.57,,,,1
AEMH104641,7,0,1990,YEVALEKAR SOLOMON SHAMRAO,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,552,M,4,1,FALSE,FALSE,0.61,104,0.11,,,,1
AEMH104642,7,0,1990,KAYYUM MAHIBUBASAHEB SIDDIKI,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,448,M,5,1,FALSE,FALSE,0.5,27,0.03,,,,1
AEMH104643,7,0,1990,KAZI SAHEBLAL PAPAMIYA,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,421,M,6,1,FALSE,FALSE,0.47,152,0.17,,,,1
AEMH104644,7,0,1990,GAIDHANKAR ALIAS GAIKWAD KUMAR BHIWA,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,269,M,7,1,FALSE,FALSE,0.3,66,0.07,,,,1
AEMH104644,7,0,1990,GAIDHANKAR ALIAS GAIKWAD KUMAR BIVA,,Maharashtra,NORTH SOLAPUR,SC,IND,,346,M,11,1,FALSE,FALSE,0.28,24,0.02,,,,1
AEMH104645,7,0,1990,SIDRAM SHIVAPPA BIRAJDAR,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,203,M,8,1,FALSE,FALSE,0.22,3,0,,,,1
AEMH104646,7,0,1990,PATIL VIJAYA VEDPRAKASH,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,200,F,9,1,FALSE,FALSE,0.22,39,0.04,,,,1
AEMH104647,7,0,1990,DOKA M. HUSEN M. KARIM,,Maharashtra,SOLAPUR CITY SOUTH,GEN,ICS(SCS),,161,M,10,1,FALSE,FALSE,0.18,44,0.05,,,,1
AEMH104648,7,0,1990,RAJENDRA SADASHIV SONKAMBLE,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,117,M,11,1,FALSE,FALSE,0.13,4,0,,,,1
AEMH104649,7,0,1990,KALLAWALE JAGATSINGH THAKURSINGH,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,113,M,12,1,FALSE,FALSE,0.12,3,0,,,,1
AEMH104650,7,0,1990,OGHE SHIVSHARANAPPA MALKAPPA,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,110,M,13,1,FALSE,FALSE,0.12,2,0,,,,1
AEMH104651,7,0,1990,SHAIKH YUSUF BABUMIYA,,Maharashtra,SOLAPUR CITY SOUTH,GEN,BSP,,108,M,14,1,FALSE,FALSE,0.12,5,0.01,,,,1
AEMH104652,7,0,1990,AMIRUN HARUN WANGIKAR,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,103,F,15,1,FALSE,FALSE,0.11,20,0.02,,,,1
AEMH104653,7,0,1990,LIMBALE KUSUM SHARANKUMAR,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,83,F,16,1,FALSE,FALSE,0.09,31,0.03,,,,1
AEMH104654,7,0,1990,MABRUKHANE IRESH SIDRAM,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,52,M,17,1,FALSE,FALSE,0.06,3,0,,,,1
AEMH104655,7,0,1990,A. GANI BUJRUK PATHAN,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,49,M,18,1,FALSE,FALSE,0.05,15,0.02,,,,1
AEMH104656,7,0,1990,MYAKAL SIDRAM PUNDLIK,,Maharashtra,SOLAPUR CITY SOUTH,GEN,IND,,34,M,19,1,FALSE,FALSE,0.04,0,0,,,,1
